modelname 	objname 	colour 			scale 			orientation 		pos 			shader
52	
circle 		BaMi 		1.0 0.0 1.0 	25.0 25.0 		0.0 0.0    		25 200		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag 
triangle 	Camera 		0.0 0.0 0.0		50.0 100.0 		30.0 2.0   		0 0 		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Object6 	1.0 0.4 0.5 	200.0 70.0 		0.0 -22.5  		550 300		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-2 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		-225 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-3 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		-175 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-4 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		-125 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-5 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		-75 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-6 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		-25 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-7 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		25 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-8 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		75 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-9 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		125 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-10 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		175 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-11 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		225 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
square  	Wall11-12 	0.0 1.0 0.0 	50.0 50.0 		0.0 0.0  		275 0		shdrpgm ../shaders/SushiMi.vert ../shaders/SushiMi.frag
